CPU: ID 0x306d4, Processor Type 0x0, Family 0x6, Model 0x3d, Stepping 0x4
Northbridge: 8086:1604 (5th generation (Broadwell family) Core Processor ULT)
Southbridge: 8086:9cc3 (Wildcat Point Low Power Premium SKU)
IGD: 8086:1626 (unknown)

============= GPIOS =============

GPIOBASE = 0x1c00 (IO)

gpiobase+0x02d8: 0x80000001 (GP59CONFIGA)
gpiobase+0x02dc: 0x00000004 (GP59CONFIGB)
gpiobase+0x02e0: 0x40000000 (GP60CONFIGA)
gpiobase+0x02e4: 0x00000000 (GP60CONFIGB)
gpiobase+0x02e8: 0x40000000 (GP61CONFIGA)
gpiobase+0x02ec: 0x00000000 (GP61CONFIGB)
gpiobase+0x02f0: 0x40000000 (GP62CONFIGA)
gpiobase+0x02f4: 0x00000000 (GP62CONFIGB)
gpiobase+0x02f8: 0x40000000 (GP63CONFIGA)
gpiobase+0x02fc: 0x00000000 (GP63CONFIGB)
gpiobase+0x0300: 0x80000000 (GP64CONFIGA)
gpiobase+0x0304: 0x00000000 (GP64CONFIGB)
gpiobase+0x0308: 0x80000000 (GP65CONFIGA)
gpiobase+0x030c: 0x00000000 (GP65CONFIGB)
gpiobase+0x0310: 0x00000005 (GP66CONFIGA)
gpiobase+0x0314: 0x00000000 (GP66CONFIGB)
gpiobase+0x0318: 0x80000000 (GP67CONFIGA)
gpiobase+0x031c: 0x00000000 (GP67CONFIGB)
gpiobase+0x0320: 0x80000000 (GP68CONFIGA)
gpiobase+0x0324: 0x00000000 (GP68CONFIGB)
gpiobase+0x0328: 0x80000000 (GP69CONFIGA)
gpiobase+0x032c: 0x00000000 (GP69CONFIGB)
gpiobase+0x0330: 0x00000001 (GP70CONFIGA)
gpiobase+0x0334: 0x00000004 (GP70CONFIGB)
gpiobase+0x0338: 0x40000000 (GP71CONFIGA)
gpiobase+0x033c: 0x00000000 (GP71CONFIGB)
gpiobase+0x0340: 0x40000005 (GP72CONFIGA)
gpiobase+0x0344: 0x00000000 (GP72CONFIGB)
gpiobase+0x0348: 0x40000000 (GP73CONFIGA)
gpiobase+0x034c: 0x00000000 (GP73CONFIGB)
gpiobase+0x0350: 0x40000000 (GP74CONFIGA)
gpiobase+0x0354: 0x00000000 (GP74CONFIGB)
gpiobase+0x0358: 0x40000000 (GP75CONFIGA)
gpiobase+0x035c: 0x00000000 (GP75CONFIGB)
gpiobase+0x0360: 0xc0000000 (GP76CONFIGA)
gpiobase+0x0364: 0x00000004 (GP76CONFIGB)
gpiobase+0x0368: 0x40000005 (GP77CONFIGA)
gpiobase+0x036c: 0x00000000 (GP77CONFIGB)
gpiobase+0x0370: 0x40000005 (GP78CONFIGA)
gpiobase+0x0374: 0x00000000 (GP78CONFIGB)
gpiobase+0x0378: 0x40000005 (GP79CONFIGA)
gpiobase+0x037c: 0x00000000 (GP79CONFIGB)
gpiobase+0x0380: 0x40000005 (GP80CONFIGA)
gpiobase+0x0384: 0x00000000 (GP80CONFIGB)
gpiobase+0x0388: 0x00000000 (GP81CONFIGA)
gpiobase+0x038c: 0x00000000 (GP81CONFIGB)
gpiobase+0x0390: 0x40000000 (GP82CONFIGA)
gpiobase+0x0394: 0x00000000 (GP82CONFIGB)
gpiobase+0x0398: 0x00000001 (GP83CONFIGA)
gpiobase+0x039c: 0x00000004 (GP83CONFIGB)
gpiobase+0x03a0: 0x00000001 (GP84CONFIGA)
gpiobase+0x03a4: 0x00000004 (GP84CONFIGB)
gpiobase+0x03a8: 0x00000001 (GP85CONFIGA)
gpiobase+0x03ac: 0x00000004 (GP85CONFIGB)
gpiobase+0x03b0: 0x00000005 (GP86CONFIGA)
gpiobase+0x03b4: 0x00000000 (GP86CONFIGB)
gpiobase+0x03b8: 0x00000001 (GP87CONFIGA)
gpiobase+0x03bc: 0x00000004 (GP87CONFIGB)
gpiobase+0x03c0: 0x80000001 (GP88CONFIGA)
gpiobase+0x03c4: 0x00000004 (GP88CONFIGB)
gpiobase+0x03c8: 0x80000001 (GP89CONFIGA)
gpiobase+0x03cc: 0x00000004 (GP89CONFIGB)
gpiobase+0x03d0: 0x00000001 (GP90CONFIGA)
gpiobase+0x03d4: 0x00000004 (GP90CONFIGB)
gpiobase+0x03d8: 0x80000000 (GP91CONFIGA)
gpiobase+0x03dc: 0x00000000 (GP91CONFIGB)
gpiobase+0x03e0: 0x80000000 (GP92CONFIGA)
gpiobase+0x03e4: 0x00000000 (GP92CONFIGB)
gpiobase+0x03e8: 0x80000000 (GP93CONFIGA)
gpiobase+0x03ec: 0x00000000 (GP93CONFIGB)
gpiobase+0x03f0: 0x80000000 (GP94CONFIGA)
gpiobase+0x03f4: 0x00000000 (GP94CONFIGB)



============= RCBA ==============

RCBA = 0xfed1c000 (MEM)

0x0050: 0x812a0000
0x0054: 0x00000780
0x0084: 0x00000001
0x0404: 0x00543210
0x0410: 0x00000003
0x0800: 0x20100808
0x0804: 0x01000004
0x0808: 0x04210444
0x080c: 0x04210000
0x0810: 0x00660000
0x0818: 0x00170017
0x081c: 0x00000f00
0x0820: 0xf7401111
0x0834: 0x0001101c
0x0838: 0x04124044
0x0900: 0x0000031f
0x0984: 0x00100000
0x0988: 0x00400010
0x098c: 0x00440000
0x0990: 0x00002000
0x0994: 0x00006000
0x09b0: 0x00000004
0x1000: 0x20100808
0x1004: 0x01000004
0x1008: 0x04210444
0x100c: 0x04210000
0x1010: 0x00007731
0x1020: 0x20100808
0x1024: 0x01000004
0x1028: 0x04210f11
0x102c: 0x04210000
0x1030: 0x00040010
0x1034: 0x0001101c
0x1038: 0x045a619a
0x103c: 0x045a0000
0x1040: 0x045a5555
0x1050: 0x00000003
0x1054: 0x00010000
0x1058: 0x0000003f
0x1100: 0x0000c13f
0x1104: 0x00000700
0x1114: 0x0000c000
0x1118: 0x1eea52bd
0x111c: 0x09b73a8b
0x1194: 0x00002000
0x1d48: 0x00030000
0x1e10: 0x000f2004
0x1e80: 0x00fc2001
0x1e84: 0x000000f0
0x2014: 0x8000007b
